displayName,orgId,LocationID,type,capacity,calling,calendar,hotdeskingStatus,deviceHostedMeetings
BHMSC-CLB-607,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,huddle,4,"{""type"": ""none""}","{ ""type"": ""microsoft"",""emailAddress"": ""bhmsc607rm@cspire.com"" }",off,"{ ""enabled"": true,""siteUrl"": ""cspirebiz.webex.com""}"
BHMSC-CLB-609,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,huddle,4,"{""type"": ""none""}","{ ""type"": ""microsoft"",""emailAddress"": ""bhmsc609rm@cspire.com"" }",off,"{ ""enabled"": true,""siteUrl"": ""cspirebiz.webex.com""}"
BHMSC-CLB-617,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,huddle,4,"{""type"": ""none""}","{ ""type"": ""microsoft"",""emailAddress"": ""bhmsc617rm@cspire.com"" }",off,"{ ""enabled"": true,""siteUrl"": ""cspirebiz.webex.com""}"
BHMSC-CLB-618,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,huddle,4,"{""type"": ""none""}","{ ""type"": ""microsoft"",""emailAddress"": ""bhmsc618rm@cspire.com"" }",off,"{ ""enabled"": true,""siteUrl"": ""cspirebiz.webex.com""}"
BHMSC-CLB-620,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,huddle,4,"{""type"": ""none""}","{ ""type"": ""microsoft"",""emailAddress"": ""bhmsc620rm@cspire.com"" }",off,"{ ""enabled"": true,""siteUrl"": ""cspirebiz.webex.com""}"
BHMSC-CLB-633,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,huddle,4,"{""type"": ""none""}","{ ""type"": ""microsoft"",""emailAddress"": ""bhmsc633rm@cspire.com"" }",off,"{ ""enabled"": true,""siteUrl"": ""cspirebiz.webex.com""}"
BHMSC-CLB-634,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,huddle,4,"{""type"": ""none""}","{ ""type"": ""microsoft"",""emailAddress"": ""bhmsc634rm@cspire.com"" }",off,"{ ""enabled"": true,""siteUrl"": ""cspirebiz.webex.com""}"
BHMSC-CLB-635,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,huddle,4,"{""type"": ""none""}","{ ""type"": ""microsoft"",""emailAddress"": ""bhmsc635rm@cspire.com"" }",off,"{ ""enabled"": true,""siteUrl"": ""cspirebiz.webex.com""}"
BHMSC-CLB-638,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,huddle,4,"{""type"": ""none""}","{ ""type"": ""microsoft"",""emailAddress"": ""bhmsc638rm@cspire.com"" }",off,"{ ""enabled"": true,""siteUrl"": ""cspirebiz.webex.com""}"
BHMSC-CNF-603,Y2lzY29zcGFyazovL3VzL09SR0FOSVpBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDg,Y2lzY29zcGFyazovL3VybjpURUFNOnVzLWVhc3QtMl9hL1dPUktTUEFDRV9MT0NBVElPTi85ZmI2NjhlMS1kNmUxLTQ0MWYtYTZmOC1iOTY4MjI3Y2EzZDgjN2ZlMDg5YzEtNzdhYS00OTUxLThjZjEtYTliMzQ4OWUxYzY4,meeting,10,"{""type"": ""none""}","{ ""type"": ""microsoft"",""emailAddress"": ""bhmsc603rm@cspire.com"" }",off,"{ ""enabled"": true,""siteUrl"": ""cspirebiz.webex.com""}"
